BatchID,Start Date,Start Time,Start Date+Time, Num Nodes, Duration (s), Bytes Read, Bytes Written,Bytes Read (GB),Bytes Written (GB), Opens, Closes, GetAttr, SetAttr,Avg. GB Read/node,Avg. GB Written/node
3033612,10/25/16,19:37:02,10/25/16 19:37,15,6072,8092397568,2898497179,7.536632538,2.699435855,"62,638","14,514","13,239","3,555",0.50244,0.17996
3033614,10/25/16,19:37:57,10/25/16 19:37,15,5623,10516197376,2847167346,9.793972015,2.651631223,"62,606","14,504","11,029","3,555",0.65293,0.17678
3033629,10/25/16,20:14:47,10/25/16 20:14,15,5797,5918928896,2842754443,5.512432098,2.647521387,"62,663","14,473","12,739","3,555",0.36750,0.17650
3033650,10/25/16,20:18:53,10/25/16 20:18,24,5608,15867912192,4988678488,14.77814484,4.646068893,"100,381","23,189","16,929","5,688",0.61576,0.19359
3033652,10/25/16,20:19:16,10/25/16 20:19,22,5866,9495912448,4532892877,8.843757629,4.221585465,"91,952","21,200","15,443","5,214",0.40199,0.19189
3033690,10/25/16,20:54:06,10/25/16 20:54,15,5753,3460935680,2970103521,3.223247528,2.766124458,"62,701","14,467","10,658","3,555",0.21488,0.18441
3033691,10/25/16,20:54:09,10/25/16 20:54,15,5424,6553923584,2736264451,6.103816986,2.548344853,"62,715","14,481","10,336","3,555",0.40692,0.16989
3033694,10/25/16,21:00:09,10/25/16 21:00,15,5520,5919440896,2876765429,5.512908936,2.679196586,"62,626","14,480","11,656","3,555",0.36753,0.17861
3033695,10/25/16,21:00:12,10/25/16 21:00,15,6021,5870776320,2829319688,5.467586517,2.635009296,"62,733","14,499","10,512","3,555",0.36451,0.17567
3033698,10/25/16,21:09:58,10/25/16 21:09,99,5748,82991468544,22769067547,77.29182816,21.20534661,"413,710","95,612","74,073","23,463",0.78073,0.21420
3033700,10/25/16,21:13:15,10/25/16 21:13,15,5718,3447123968,2895223371,3.210384369,2.696386884,"62,589","14,487","11,240","3,555",0.21403,0.17976
3033952,10/25/16,21:56:24,10/25/16 21:56,15,5605,5281529856,2828365072,4.918807983,2.634120241,"62,667","14,477","10,435","3,555",0.32792,0.17561
3033956,10/25/16,21:59:27,10/25/16 21:59,15,5955,3408908288,2828463821,3.174793243,2.634212208,"62,942","14,444","10,451","3,555",0.21165,0.17561
3033965,10/25/16,22:07:41,10/25/16 22:07,15,5693,8182677504,2921684882,7.62071228,2.721031087,"62,870","14,504","12,349","3,555",0.50805,0.18140
3033977,10/25/16,22:17:24,10/25/16 22:17,15,5756,6757584896,2909175863,6.293491364,2.709381155,"62,746","14,512","12,197","3,555",0.41957,0.18063
3033978,10/25/16,22:17:26,10/25/16 22:17,15,5896,8380915712,2882000442,7.805335999,2.684072072,"62,737","14,503","10,505","3,555",0.52036,0.17894
3033979,10/25/16,22:17:29,10/25/16 22:17,15,5537,4773773312,3027730802,4.445922852,2.819794046,"62,753","14,475","10,483","3,555",0.29639,0.18799
3033985,10/25/16,22:31:07,10/25/16 22:31,15,5746,6019477504,2892245802,5.606075287,2.693613807,"62,770","14,492","10,644","3,555",0.37374,0.17957
3033987,10/25/16,22:33:20,10/25/16 22:33,15,5538,4544925696,2819053181,4.232791901,2.625447867,"62,922","14,468","11,952","3,555",0.28219,0.17503
3034005,10/25/16,22:41:32,10/25/16 22:41,15,5563,5886275584,2722459977,5.482021332,2.535488435,"62,688","14,498","10,394","3,555",0.36547,0.16903
3034076,10/26/16,0:05:44,10/26/16 0:05,15,5559,2674950144,2932732142,2.491241455,2.731319649,"62,751","14,473","10,353","3,555",0.16608,0.18209
3034077,10/26/16,0:06:59,10/26/16 0:06,15,5701,8496181248,2957162849,7.912685394,2.754072518,"62,893","14,527","10,757","3,555",0.52751,0.18360
3034084,10/26/16,0:16:58,10/26/16 0:16,15,5731,5224894464,2965368517,4.866062164,2.761714642,"62,895","14,485","10,398","3,555",0.32440,0.18411
3034095,10/26/16,0:31:32,10/26/16 0:31,15,5963,5663719424,2832292916,5.274749756,2.637778331,"62,844","14,478","10,541","3,555",0.35165,0.17585
3034097,10/26/16,0:31:35,10/26/16 0:31,15,5980,3459829760,2984040772,3.22221756,2.779104535,"62,799","14,477","14,105","3,555",0.21481,0.18527
3034107,10/26/16,0:53:50,10/26/16 0:53,123,6219,1.05679E+11,28379341791,98.42139435,26.43032166,"512,519","118,748","89,322","28,966",0.80017,0.21488
3034108,10/26/16,0:58:04,10/26/16 0:58,163,6154,1.38075E+11,38220696676,128.5928268,35.59579763,"683,042","158,036","121,730","38,631",0.78891,0.21838
3034109,10/26/16,1:00:00,10/26/16 1:00,188,6230,1.61936E+11,43365379916,150.8143997,40.38715727,"782,051","180,859","163,353","44,156",0.80220,0.21483
3034113,10/26/16,1:04:36,10/26/16 1:04,51,5734,35492827136,11647550513,33.05527115,10.84762673,"213,553","49,267","35,723","12,087",0.64814,0.21270
3034115,10/26/16,1:08:16,10/26/16 1:08,80,6088,68814487552,18587704228,64.08848572,17.31114856,"332,318","76,729","56,254","18,747",0.80111,0.21639
3034116,10/26/16,1:09:18,10/26/16 1:09,15,5526,8151511040,2914052374,7.591686249,2.71392276,"62,940","14,486","10,198","3,555",0.50611,0.18093
3034117,10/26/16,1:13:23,10/26/16 1:13,213,6163,1.81104E+11,50021464146,168.6664238,46.58611877,"892,636","206,754","182,105","50,481",0.79186,0.21871
3034149,10/26/16,1:39:23,10/26/16 1:39,15,5376,9746767872,2868155844,9.077384949,2.671178285,"62,650","14,504","11,454","3,555",0.60516,0.17808
3034151,10/26/16,1:40:54,10/26/16 1:40,15,5868,5371482112,2962416882,5.00258255,2.758965718,"62,799","14,477","12,363","3,555",0.33351,0.18393
3034152,10/26/16,1:41:28,10/26/16 1:41,15,5636,5183700992,2778383175,4.827697754,2.587570972,"62,707","14,473","10,312","3,555",0.32185,0.17250
3034154,10/26/16,1:43:02,10/26/16 1:43,15,5918,8027922432,2531738789,7.476585388,2.357865487,"60,013","13,870","13,655","3,359",0.49844,0.15719
3034155,10/26/16,1:43:05,10/26/16 1:43,15,5525,8143679488,2715211157,7.584392548,2.528737445,"62,850","14,484","11,083","3,555",0.50563,0.16858
3034156,10/26/16,1:43:08,10/26/16 1:43,15,5763,5677473792,2896255530,5.287559509,2.697348157,"62,787","14,509","10,262","3,555",0.35250,0.17982
3034158,10/26/16,1:43:24,10/26/16 1:43,15,5688,2746015744,2816711276,2.557426453,2.623266798,"62,814","14,492","14,091","3,555",0.17050,0.17488
3034160,10/26/16,1:48:20,10/26/16 1:48,33,6158,13371797504,7081295273,12.45345688,6.594970145,"138,165","31,883","23,058","7,821",0.37738,0.19985
3034163,10/26/16,1:51:59,10/26/16 1:51,15,5740,6189010944,2878582665,5.763965607,2.680889019,"62,947","14,493","10,480","3,555",0.38426,0.17873
3034174,10/26/16,2:21:25,10/26/16 2:21,30,5990,21619679232,6705803951,20.13489532,6.245266601,"125,246","28,998","20,964","7,110",0.67116,0.20818
3034186,10/26/16,2:49:36,10/26/16 2:49,44,5919,24424083456,9606455880,22.74670029,8.946709223,"184,077","42,485","31,355","10,428",0.51697,0.20333
3034194,10/26/16,2:57:54,10/26/16 2:57,75,5872,51375067136,17237804946,47.8467598,16.05395688,"311,120","71,953","54,506","17,567",0.63796,0.21405
3034195,10/26/16,3:01:06,10/26/16 3:01,15,5629,6026551296,2870067959,5.612663269,2.672959081,"62,834","14,468","10,578","3,555",0.37418,0.17820
3034212,10/26/16,3:23:09,10/26/16 3:23,300,6222,2.5601E+11,70198166621,238.4283066,65.37713727,"1,251,227","289,713","301,023","70,674",0.79476,0.21792
3034214,10/26/16,3:25:30,10/26/16 3:25,15,5638,5574729728,2964220379,5.191871643,2.760645355,"62,922","14,468","12,062","3,555",0.34612,0.18404
3034216,10/26/16,3:28:50,10/26/16 3:28,155,6131,1.33076E+11,36363094155,123.9370804,33.86577047,"649,170","150,048","149,193","36,735",0.79959,0.21849
3034219,10/26/16,3:31:04,10/26/16 3:31,15,5771,6066446336,3077683562,5.64981842,2.866316179,"62,724","14,490","12,950","3,555",0.37665,0.19109
3034220,10/26/16,3:33:35,10/26/16 3:33,45,5947,31966236672,9615795657,29.77087784,8.955407568,"182,876","42,188","30,902","10,265",0.66158,0.19901
3034224,10/26/16,3:37:01,10/26/16 3:37,38,5614,21423599616,8529918857,19.95228195,7.944105991,"159,406","36,782","27,045","9,006",0.52506,0.20906
