Row Labels,Input Files,Initialization,Execution,Output Files,Monitoring,unknown
1/1/16,152,2,1390,50,2688,30700
2/1/16,1464,3,3200,44,1169,31133
3/1/16,329,20,3326,279,2045,34901
4/1/16,647,8,1120,107,1456,704
5/1/16,184,14,4091,171,3233,381
6/1/16,85,42,14037,120,3181,661
7/1/16,357,28,11207,211,5821,1567
8/1/16,115,18,16884,874,12185,2843
9/1/16,486,42,5621,578,15472,2899
10/1/16,2011,12,3885,394,4511,1127
11/1/16,1877,26,5462,1285,17996,3508
12/1/16,4241,22,5721,1317,13931,5460
1/1/17,13068,30,2902,923,10293,5812
2/1/17,68,56,6653,112,4846,18758
